WindowSize,CompressionLevel,Performance
22,4,2.748
22,5,7.198
12,7,5.266
16,7,6.998
11,7,5.078
14,6,4.874
19,9,14.048
15,0,1.534
15,5,5.072
14,10,301.488
12,3,2.426
20,3,2.546
21,0,1.604
19,5,7.372
19,1,1.604
23,9,63.68
13,0,1.514
10,0,1.662
13,2,1.942
17,3,2.564
24,0,1.574
10,4,3.02
12,5,3.746
11,1,1.526
17,0,1.606
24,5,7.154
15,2,1.972
13,5,4.128
22,1,1.586
11,6,3.57
20,7,12.338
11,0,1.526
24,1,1.57
14,1,1.46
19,0,1.614
17,6,6.34
10,1,1.666
16,1,1.598
15,3,2.392
18,8,9.684
12,6,3.846
10,6,3.386
18,1,1.63
17,2,2.102
24,3,2.478
23,2,2.032
20,2,2.088
19,3,2.552
12,1,1.542
14,3,2.302
22,0,1.596
14,0,1.472
11,3,2.476
10,2,2.146
13,1,1.514
16,6,5.77
15,1,1.52
12,0,1.528
17,1,1.612
13,3,2.37
23,0,1.556
16,0,1.59
14,4,2.894
21,1,1.598
18,4,2.824
23,3,2.478
14,2,1.9
12,4,3.004
16,4,2.77
21,2,2.06
20,0,1.63
12,2,1.988
16,2,2.026
20,1,1.636
18,3,2.562
21,3,2.512
18,2,2.094
23,4,2.726
18,0,1.628
11,2,1.998
20,8,14.64
10,3,2.616
16,3,2.508
24,2,2.04
14,1,1.46
21,4,2.768
11,4,3.04
22,3,2.5
14,0,1.472
23,1,1.572
18,7,8.628
11,1,1.526
14,1,1.46
13,1,1.514
22,2,2.05
17,4,2.848
15,4,2.834
19,2,2.1
14,1,1.46
15,1,1.52
