topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,1,4,1000000,10,1,1000,1000,512,10000,2,29,0.00121196770447
4,10,4,1000000,1,1,1000,1000,1024,100,2,0,2.0
4,10,4,1000000,1,1,1000,1000,1024,10000,2,29,0.000510660549634
2,10,2,1000000,10,1,1000,1000,512,100,2,29,2.0
2,10,2,10,1,0,1000,10,512,10000,2,0,2.0
2,1,4,1000000,1,0,1000,10,1024,100,2,0,4.22146054364e-05
2,10,2,10,10,0,1000,1000,1024,10000,5,0,0.304417690371
4,10,2,10,1,0,1000,1000,1024,100,5,29,2.0
4,10,4,10,10,1,1000,1000,1024,10000,5,29,0.164760881495
4,10,4,1000000,1,1,1000,1000,1024,100,5,29,2.0
4,1,4,1000000,1,0,1,1000,512,10000,2,0,0.00187242201533
4,1,4,1000000,1,0,1,10,1024,100,2,0,0.00201132168483
2,10,4,1000000,1,1,1,10,1024,10000,2,0,2.0
4,10,4,1000000,1,0,1000,10,512,100,2,0,0.000114387963118
2,1,4,1000000,1,0,1000,10,1024,10000,2,0,2.0
2,1,4,10,1,1,1,10,1024,100,5,29,0.0150188672051
2,1,4,10,1,0,1,10,512,100,2,0,0.0149739290767
2,1,4,1000000,1,0,1,1000,1024,10000,2,0,0.00132227038319
2,10,4,10,1,1,1000,10,512,100,5,29,0.315559622683
2,1,4,1000000,10,0,1,10,512,100,5,0,2.0
4,1,4,10,1,1,1,1000,1024,10000,2,0,0.014766941334
4,10,4,10,1,0,1000,10,1024,100,5,0,0.213441130371
2,1,4,1000000,10,0,1000,10,512,10000,2,0,2.0
2,10,4,10,1,0,1,10,1024,10000,5,29,2.0
2,10,2,10,1,0,1,1000,512,100,2,0,2.0
2,1,2,10,1,0,1,1000,512,10000,5,0,0.0148772440127
4,1,2,1000000,1,1,1,1000,1024,100,2,0,2.0
