new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
4,3,2,0,1,1,1,1,0,1,53.078
3,2,1,1,0,0,0,0,0,1,43.0
3,1,1,1,1,1,0,1,1,0,30.814
2,1,1,1,1,1,0,0,0,1,41.828
2,3,3,1,1,1,1,1,0,0,98.726
1,2,3,1,0,0,1,1,1,1,119.416
2,3,1,0,0,1,0,0,1,1,74.99
1,2,2,1,0,1,0,0,1,1,104.798
1,1,2,1,1,1,0,0,1,1,79.098
1,3,3,1,0,0,1,0,1,0,152.032
4,1,1,0,1,0,1,1,0,1,25.11
4,1,1,1,0,0,0,1,0,1,23.62
4,1,1,1,1,1,0,0,0,0,21.678
4,3,1,1,1,1,0,1,0,1,46.582
4,1,1,1,1,1,1,1,0,0,23.178
4,1,3,0,1,1,0,1,0,0,24.538
4,1,1,0,1,1,0,0,0,0,23.266
4,1,1,1,1,1,0,0,0,1,21.65
4,1,1,1,1,0,0,1,1,1,23.586
4,1,1,1,0,1,1,0,1,1,22.522
4,1,1,0,0,0,1,0,1,0,23.776
4,1,1,0,0,1,0,0,0,1,23.358
4,1,2,1,1,0,0,0,0,1,22.34
4,1,1,1,1,0,0,1,0,0,22.794
4,1,2,1,0,1,1,0,0,1,22.998
4,1,1,0,1,1,1,1,1,0,24.974
4,1,1,1,0,0,1,0,0,1,22.646
4,1,1,1,1,1,1,0,0,1,21.714
4,1,1,1,0,0,0,0,1,1,22.248
4,1,3,1,1,1,0,0,1,0,23.35
4,1,3,0,0,0,0,0,0,1,24.924
4,1,1,1,0,1,0,0,0,0,22.142
4,1,1,0,1,1,0,0,1,1,23.274
4,1,3,1,1,1,1,0,0,1,23.334
4,1,3,1,1,1,0,0,0,1,23.204
4,1,1,1,1,0,0,0,1,0,21.556
4,1,2,1,1,0,1,0,0,0,22.842
4,1,2,1,1,1,0,1,1,0,23.456
4,1,3,1,1,0,0,0,1,0,23.06
4,1,3,0,1,0,1,1,1,0,24.92
4,1,1,0,0,0,1,0,1,1,23.792
4,1,3,1,1,1,0,1,0,0,23.244
4,1,1,0,1,0,0,0,0,1,23.186
4,1,1,1,0,0,0,0,0,0,22.312
4,1,1,0,1,0,0,1,1,0,24.644
4,1,1,1,1,0,1,0,1,0,79.142
4,1,3,1,0,0,0,1,1,1,23.704
4,1,1,0,0,1,0,0,1,0,23.478
4,1,1,0,0,1,0,0,1,0,23.478
4,1,3,1,0,0,0,0,0,0,23.864
4,1,2,0,1,1,1,1,0,1,25.184
4,1,1,1,0,1,0,0,1,0,22.138
4,1,3,1,0,0,0,0,1,0,23.552
4,1,1,0,0,0,0,1,0,1,25.124
4,1,1,1,1,1,0,1,1,1,23.278
4,1,2,1,0,1,0,0,0,1,23.106
4,1,3,0,1,0,0,1,1,0,24.836
4,1,1,1,1,0,0,0,0,1,21.694
4,1,3,1,1,0,0,1,1,0,22.934
4,1,1,0,0,0,0,1,1,0,24.868
4,1,1,0,0,1,0,0,0,0,23.432
4,1,3,1,1,1,0,0,1,0,23.35
4,1,2,1,1,0,0,1,0,0,22.78
4,1,1,0,0,0,0,1,1,1,25.326
4,1,1,1,1,1,0,0,1,1,21.97
4,1,2,1,0,1,0,1,1,0,23.71
4,1,2,0,1,1,0,0,1,0,23.964
4,1,1,1,1,0,0,0,0,1,21.694
4,1,1,1,0,1,0,0,0,0,22.142
4,1,2,0,1,1,0,1,0,0,24.8
4,1,2,0,1,1,0,0,0,1,24.014
4,1,1,1,0,1,0,0,1,0,22.138
4,1,1,1,1,0,0,0,1,1,21.586
4,1,1,1,0,1,0,0,1,1,22.19
4,1,1,1,0,1,0,1,1,1,23.984
4,1,2,1,1,0,0,1,0,1,22.97
4,1,1,0,0,0,0,0,0,1,23.38
4,1,1,0,1,1,0,0,1,1,23.274
4,1,3,0,1,1,0,0,1,0,24.542
4,1,1,0,1,0,0,0,1,1,23.266
4,1,2,0,1,0,0,1,0,0,24.988
4,1,3,1,1,1,0,0,1,0,23.35
4,1,1,1,0,0,1,0,0,0,23.034
4,1,2,1,0,1,0,0,1,1,23.018
4,1,1,1,1,1,1,0,0,1,21.714
4,1,1,1,1,1,0,1,0,1,24.4
4,1,1,1,1,1,0,0,0,1,21.65
4,1,3,0,0,0,1,0,0,0,25.186
4,1,3,1,1,0,0,1,1,1,23.334
4,1,3,1,1,0,0,0,0,0,22.984
4,2,1,0,0,0,0,0,1,1,29.656
4,1,1,1,1,1,0,1,0,0,23.666
4,1,1,1,0,0,0,0,1,1,22.248
4,1,2,1,0,0,0,0,1,1,22.866
4,1,1,0,0,0,0,0,0,0,23.434
4,1,1,0,0,0,1,1,0,0,25.294
4,1,2,1,0,0,0,0,0,0,22.874
4,1,2,1,1,0,0,0,0,0,22.312
4,1,3,1,1,0,0,0,1,1,23.048
4,1,1,0,0,1,0,0,1,0,23.478
